"Date";"Title";"Comment";"Main category";"Subcategory";"Account";"Amount"
"1/1/2019";"This software";"";"Office & Work";"Software";"Cash Money";"-55.000"
"1/2/2019";"Extra from pocket";"";"Income";"";"Saving Box";"2.000"
"1/2/2019";"Yogurt";"";"Home";"Food";"Cash Money";"-8.100"
"1/2/2019";"Dinner";"";"Home";"Food";"Cash Money";"-18.000"
"1/2/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-300.000"
"1/2/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"300.000"
"1/2/2019";"Expense";"";"Unnecessary expense";"";"Cash Money";"-2.000"
"1/2/2019";"Coin transfer";"";"Home";"";"Cash Money";"-3.900"
"1/2/2019";"Coin transfer";"";"Home";"";"Coin Vault";"3.900"
"1/2/2019";"Bank fee";"";"Fees";"";"Bank Mandiri";"-11.851"
"1/3/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"1/3/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"1/3/2019";"Electricity";"";"Home";"";"Bank Mandiri";"-50.000"
"1/3/2019";"Adjustment";"";"Balance Adjustment";"";"Bank Mandiri";"50.000"
"1/3/2019";"Dinner";"";"Home";"Food";"Cash Money";"-9.000"
"1/4/2019";"Dinner";"";"Home";"Food";"Cash Money";"-20.000"
"1/5/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"1/5/2019";"Coin transfer";"";"Home";"";"Cash Money";"-2.000"
"1/5/2019";"Coin transfer";"";"Home";"";"Coin Vault";"2.000"
"1/6/2019";"Dinner";"";"Home";"Food";"Cash Money";"-10.000"
"1/7/2019";"Bonus";"";"Income";"";"Bank Mandiri";"40.000"
"1/7/2019";"Dinner";"";"Home";"Food";"Cash Money";"-17.000"
"1/7/2019";"Extra food";"";"Home";"Food";"Bank Mandiri";"-23.700"
"1/7/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.300"
"1/7/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.300"
"1/8/2019";"Dinner";"";"Home";"Food";"Cash Money";"-18.000"
"1/8/2019";"Breakfast";"";"Home";"Food";"Cash Money";"-8.000"
"1/8/2019";"Food";"";"Home";"Food";"Cash Money";"-43.600"
"1/8/2019";"Coin transfer";"";"Home";"";"Cash Money";"-600"
"1/8/2019";"Coin transfer";"";"Home";"";"Coin Vault";"600"
"1/9/2019";"Dinner";"";"Home";"Food";"Cash Money";"-21.500"
"1/9/2019";"Coin transfer";"";"Home";"";"Cash Money";"-500"
"1/9/2019";"Coin transfer";"";"Home";"";"Coin Vault";"500"
"1/10/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"1/10/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"1/10/2019";"Dinner";"";"Home";"Food";"Cash Money";"-29.500"
"1/10/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.500"
"1/10/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.500"
"1/11/2019";"Dinner";"";"Home";"Food";"Cash Money";"-23.000"
"1/11/2019";"Scanning Sertificate";"";"Expenses";"Education";"Cash Money";"-4.000"
"1/11/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.500"
"1/11/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.500"
"1/12/2019";"Dinner";"";"Home";"Food";"Cash Money";"-12.000"
"1/12/2019";"Snack";"";"Home";"Food";"Cash Money";"-40.000"
"1/12/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-300.000"
"1/12/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"300.000"
"1/13/2019";"Dinner";"";"Home";"Food";"Cash Money";"-19.000"
"1/14/2019";"Dinner";"";"Home";"Food";"Cash Money";"-18.000"
"1/15/2019";"Scanning&printing Sertificate";"";"Expenses";"Education";"Cash Money";"-23.000"
"1/15/2019";"Dinner";"";"Home";"Food";"Cash Money";"-11.000"
"1/16/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"1/17/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"1/17/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"1/17/2019";"Washing it";"";"Motorbike";"";"Cash Money";"-25.000"
"1/17/2019";"Lunch";"";"Home";"Food";"Cash Money";"-10.000"
"1/18/2019";"Dinner";"";"Home";"Food";"Cash Money";"-20.000"
"1/18/2019";"Coin transfer";"";"Home";"";"Cash Money";"-2.500"
"1/18/2019";"Coin transfer";"";"Home";"";"Coin Vault";"2.500"
"1/19/2019";"Barber service";"";"Healthcare";"";"Cash Money";"-15.000"
"1/19/2019";"Dinner";"";"Home";"Food";"Cash Money";"-10.000"
"1/20/2019";"Water";"";"Home";"Water";"Bank Mandiri";"-25.000"
"1/20/2019";"Dinner";"";"Home";"Food";"Cash Money";"-22.000"
"1/20/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.000"
"1/20/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.000"
"1/20/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-300.000"
"1/20/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"300.000"
"1/21/2019";"Dinner";"";"Home";"Food";"Cash Money";"-28.500"
"1/21/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.000"
"1/21/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.000"
"1/22/2019";"Laundry";"";"Home";"";"Cash Money";"-24.000"
"1/22/2019";"Dinner";"";"Home";"Food";"Cash Money";"-30.000"
"1/23/2019";"Dinner";"";"Home";"Food";"Cash Money";"-20.000"
"1/23/2019";"Snack";"Soap included when purchase";"Home";"Food";"Cash Money";"-71.200"
"1/23/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.800"
"1/23/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.800"
"1/24/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"1/24/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"1/24/2019";"Dinner";"";"Home";"Food";"Cash Money";"-11.000"
"1/24/2019";"Book";"The subtle art of not giving a fuck";"Sports & Recreation";"Books";"Cash Money";"-67.000"
"1/24/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.500"
"1/24/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.500"
"1/24/2019";"Gold investment";"";"Investment";"";"Bank Mandiri";"-200.000"
"1/24/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-150.000"
"1/24/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"150.000"
"1/25/2019";"Snack";"";"Home";"Food";"Cash Money";"-6.000"
"1/25/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.000"
"1/25/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.000"
"1/25/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"1/26/2019";"Lunch";"";"Home";"Food";"Cash Money";"-15.000"
"1/26/2019";"Dinner";"";"Home";"Food";"Cash Money";"-12.000"
"1/27/2019";"Dinner";"";"Home";"Food";"Cash Money";"-20.000"
"1/28/2019";"Dinner";"";"Home";"Food";"Cash Money";"-18.000"
"1/28/2019";"Balance Adjustment";"";"Balance Adjustment";"";"Cash Money";"-50.000"
"1/28/2019";"Balance Adjustment";"";"Balance Adjustment";"";"Bank Mandiri";"50.000"
"1/28/2019";"Coin transfer";"";"Home";"";"Cash Money";"-2.000"
"1/28/2019";"Coin transfer";"";"Home";"";"Coin Vault";"2.000"
"1/28/2019";"Dinner";"";"Home";"Food";"Cash Money";"-12.000"
"1/29/2019";"Dinner";"";"Home";"Food";"Cash Money";"-12.000"
"1/29/2019";"Income";"";"Income";"Income";"Bank Mandiri";"1.700.000"
"1/30/2019";"Internet";"";"Home";"";"Bank Mandiri";"-150.000"
"1/30/2019";"Lunch";"";"Home";"Food";"Cash Money";"-14.000"
"1/31/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"1/31/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"1/31/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-200.000"
"1/31/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"200.000"
"1/31/2019";"Lunch";"";"Home";"Food";"Cash Money";"-10.000"
"1/31/2019";"Snack";"";"Home";"Food";"Cash Money";"-40.900"
"1/31/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.100"
"1/31/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.100"
"1/31/2019";"Compensation transaction";"";"Compensation transactions";"";"Bank Mandiri";"50.000"
"1/31/2019";"Compensation transaction";"";"Compensation transactions";"";"Cash Money";"-108.500"
"1/31/2019";"Money transfer";"";"Balance Adjustment";"";"Cash Money";"-29.000"
"1/31/2019";"Money transfer";"";"Balance Adjustment";"";"Wallet Money";"29.000"
"2/1/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/2/2019";"Drinks";"";"Home";"Food";"Bank Mandiri";"-12.500"
"2/2/2019";"Dinner";"";"Home";"Food";"Cash Money";"-14.000"
"2/3/2019";"Electricity";"";"Home";"";"Bank Mandiri";"-50.000"
"2/3/2019";"Dinner";"";"Home";"Food";"Cash Money";"-20.000"
"2/3/2019";"Snack";"With detergen included";"Home";"Food";"Cash Money";"-40.200"
"2/3/2019";"Coin transfer";"";"Home";"";"Cash Money";"-200"
"2/3/2019";"Coin transfer";"";"Home";"";"Coin Vault";"200"
"2/5/2019";"Water";"";"Home";"Water";"Bank Mandiri";"-25.000"
"2/5/2019";"Drinks";"";"Home";"Food";"Bank Mandiri";"-14.000"
"2/5/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/5/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"300.000"
"2/5/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-300.000"
"2/6/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/7/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"2/7/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"2/7/2019";"Dinner";"";"Home";"Food";"Cash Money";"-18.000"
"2/7/2019";"Banana";"";"Home";"Food";"Cash Money";"-26.000"
"2/7/2019";"Gasoline";"";"Motorbike";"";"Cash Money";"-70.000"
"2/8/2019";"Dinner";"";"Home";"Food";"Cash Money";"-28.000"
"2/8/2019";"Drinks";"";"Home";"Food";"Cash Money";"-14.000"
"2/9/2019";"Coin transfer";"";"Home";"";"Cash Money";"-2.900"
"2/9/2019";"Coin transfer";"";"Home";"";"Coin Vault";"2.900"
"2/9/2019";"Gold investment";"";"Investment";"";"Bank Mandiri";"-200.000"
"2/9/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/9/2019";"Snack";"";"Home";"Food";"Cash Money";"-37.600"
"2/9/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"200.000"
"2/9/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-200.000"
"2/9/2019";"Compensation transaction";"";"Compensation transactions";"";"Bank Mandiri";"70.000"
"2/10/2019";"Lunch";"";"Home";"Food";"Cash Money";"-11.000"
"2/10/2019";"Dinner";"";"Home";"Food";"Cash Money";"-12.000"
"2/11/2019";"Printings";"";"Expenses";"Education";"Cash Money";"-7.500"
"2/11/2019";"Drinks";"";"Home";"Food";"Cash Money";"-10.500"
"2/11/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/11/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-200.000"
"2/11/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"200.000"
"2/12/2019";"Lunch";"";"Home";"Food";"Cash Money";"-15.000"
"2/12/2019";"Printings";"";"Expenses";"Education";"Cash Money";"-4.000"
"2/12/2019";"LaC Fee";"";"Expenses";"Education";"Bank Mandiri";"-5.000"
"2/12/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/13/2019";"Drinks";"";"Home";"Food";"Cash Money";"-11.000"
"2/13/2019";"Laundry";"";"Home";"";"Cash Money";"-26.600"
"2/13/2019";"Coin transfer";"";"Home";"";"Cash Money";"-400"
"2/13/2019";"Coin transfer";"";"Home";"";"Coin Vault";"400"
"2/13/2019";"Dinner";"";"Home";"Food";"Cash Money";"-10.000"
"2/14/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"2/14/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"2/14/2019";"Lunch";"";"Home";"Food";"Cash Money";"-12.000"
"2/14/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.000"
"2/14/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.000"
"2/15/2019";"Drinks";"";"Home";"Food";"Cash Money";"-12.500"
"2/15/2019";"Lunch";"";"Home";"Food";"Cash Money";"-17.000"
"2/15/2019";"Coin transfer";"";"Home";"";"Cash Money";"-4.500"
"2/15/2019";"Coin transfer";"";"Home";"";"Coin Vault";"4.500"
"2/15/2019";"Drinks";"";"Home";"Food";"Cash Money";"-10.000"
"2/15/2019";"Dinner";"";"Home";"Food";"Cash Money";"-23.000"
"2/16/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/16/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"300.000"
"2/16/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-300.000"
"2/17/2019";"Laundry";"";"Home";"";"Cash Money";"-15.000"
"2/17/2019";"Lunch";"";"Home";"Food";"Cash Money";"-24.000"
"2/17/2019";"Dinner";"";"Home";"Food";"Cash Money";"-12.000"
"2/18/2019";"Dinner";"";"Home";"Food";"Cash Money";"-12.000"
"2/18/2019";"Snack";"";"Home";"Food";"Cash Money";"-63.300"
"2/19/2019";"Coin transfer";"";"Home";"";"Cash Money";"-2.700"
"2/19/2019";"Coin transfer";"";"Home";"";"Coin Vault";"2.700"
"2/19/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/20/2019";"Dinner";"Including drinks.";"Home";"Food";"Cash Money";"-26.500"
"2/21/2019";"4K Routine";"";"Saving";"";"Cash Money";"-4.000"
"2/21/2019";"4K Routine";"";"Saving";"";"Saving Box";"4.000"
"2/21/2019";"Dinner";"Including drinks.";"Home";"Food";"Cash Money";"-23.000"
"2/23/2019";"Snack";"Soap included when purchase, with parking fee";"Home";"Food";"Cash Money";"-69.000"
"2/23/2019";"Lunch";"";"Home";"Food";"Cash Money";"-12.000"
"2/23/2019";"Drinks";"";"Home";"Food";"Cash Money";"-5.000"
"2/23/2019";"Dinner";"";"Home";"Food";"Cash Money";"-14.000"
"2/23/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.000"
"2/23/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.000"
"2/23/2019";"Extra from pocket";"";"Home";"";"Cash Money";"-2.000"
"2/23/2019";"Extra from pocket";"";"Home";"";"Wallet Money";"2.000"
"2/24/2019";"Coin transfer";"";"Home";"";"Cash Money";"-1.000"
"2/24/2019";"Coin transfer";"";"Home";"";"Coin Vault";"1.000"
"2/24/2019";"Dinner";"";"Home";"Food";"Cash Money";"-22.000"
"2/24/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-100.000"
"2/24/2019";"Weekly cash out";"";"Expenses";"";"Cash Money";"100.000"
"2/25/2019";"Dinner";"";"Home";"Food";"Cash Money";"-16.000"
"2/26/2019";"Income";"";"Income";"Income";"Bank Mandiri";"1.700.000"
"2/26/2019";"Nitrogen";"";"Motorbike";"";"Cash Money";"-6.000"
"2/26/2019";"Dinner";"";"Home";"Food";"Cash Money";"-24.000"
"2/26/2019";"Weekly cash out";"";"Expenses";"";"Bank Mandiri";"-200.000"
